,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10,PHIF,SW,VSH
62,15/9-F-1 A,3437.2,8.5781,30.0879,2.3216,0.2121,-0.3860525232196502,-0.24230037491226122,-0.43320908761840826,-0.4098271684036857,0.1877,1.0,0.1673
63,15/9-F-1 A,3437.3,8.5781,31.2423,2.3162,0.21,-0.37685412536206037,-0.23627259623430172,-0.4205594028602028,-0.40066286700751086,0.1907,1.0,0.1765
64,15/9-F-1 A,3437.4,8.5781,30.8161,2.3119,0.2065,-0.3684547721656906,-0.22709180502872825,-0.4117282931576709,-0.3902988976206005,0.1932,1.0,0.1732
65,15/9-F-1 A,3437.5,8.5781,29.7559,2.3093,0.2021,-0.35605408725193327,-0.21027830601907818,-0.4005536242747243,-0.36865771351606724,0.1947,0.9981,0.1647
66,15/9-F-1 A,3437.6,8.5781,30.7302,2.3095,0.1969,-0.34055921812968226,-0.1887602272467106,-0.3786159715183469,-0.3311483519174812,0.1946,0.9797,0.1724
67,15/9-F-1 A,3437.7,8.5781,32.9549,2.3116,0.1904,-0.3148855309534606,-0.16838614469090107,-0.35912122129838175,-0.297224922098956,0.1934,0.97,0.1901
68,15/9-F-1 A,3437.8,8.5781,32.7322,2.315,0.1831,-0.25321016784738776,-0.13465909437541604,-0.3335756274812404,-0.24664678735850398,0.1914,0.9541,0.1884
69,15/9-F-1 A,3437.9,8.5781,31.5778,2.3196,0.1769,-0.1813123365584863,-0.10657115822045499,-0.30513167201754393,-0.20314825095011305,0.1888,0.9371,0.1792
70,15/9-F-1 A,3438.0,8.5781,31.4772,2.3264,0.1741,-0.1207320431753872,-0.08081727095749934,-0.28483264215154214,-0.1642460324806166,0.1849,0.934,0.1784
71,15/9-F-1 A,3438.1,8.5781,30.8838,2.3372,0.1749,-0.032311649546687374,-0.05036607620073768,-0.25594183412116456,-0.11446916681190787,0.1787,0.9322,0.1737
72,15/9-F-1 A,3438.2,8.5781,30.0666,2.3534,0.1768,0.06348347802752814,-0.014124642691606345,-0.21289390696342989,-0.058190526991161784,0.1695,0.9309999999999999,0.1672
73,15/9-F-1 A,3438.3,8.5781,29.7841,2.3728,0.1761,0.13662545576093155,0.012921545544560138,-0.14417809459397005,-0.0037072814586785003,0.1584,0.9194,0.165
74,15/9-F-1 A,3438.4,8.5781,29.2174,2.39,0.1701,0.19382002601611284,0.044696517110194144,0.020568434801362646,0.13152242891306973,0.1486,0.8265,0.1604
75,15/9-F-1 A,3438.5,8.5781,29.7808,2.399,0.1592,0.2503468004408268,0.07037039036700304,0.22773248984662614,0.2891651526498891,0.1434,0.6997,0.1649
76,15/9-F-1 A,3438.6,8.5781,29.0691,2.399,0.1453,0.32434419893904065,0.0971184243446497,0.42802134408604964,0.41200669524106026,0.1434,0.5789,0.1593
77,15/9-F-1 A,3438.7,8.5781,28.4691,2.3987,0.1304,0.4283616050440028,0.13697409575782932,0.6288383199874918,0.556085299221423,0.1436,0.4781,0.1545
78,15/9-F-1 A,3438.8,8.5782,30.1179,2.4065,0.1169,0.5031639757248006,0.16964504913495504,0.7045108489013213,0.6423952650308913,0.1391,0.4575,0.1676
79,15/9-F-1 A,3438.9,8.625,30.2155,2.4242,0.1033,0.5354080599153688,0.19570597474709842,0.6741443768674394,0.653347606600808,0.1291,0.4987,0.1684
80,15/9-F-1 A,3439.0,8.625,30.2318,2.4476,0.0963,0.5626734489758712,0.22486959457325706,0.5541377057011713,0.6308446790213432,0.1157,0.6073,0.1685
81,15/9-F-1 A,3439.1,8.625,31.1257,2.4707,0.092,0.6014189340711174,0.25601981338012164,0.41803599229994787,0.5842067992719152,0.1025,0.7592,0.1756
82,15/9-F-1 A,3439.2,8.625,30.9719,2.4895,0.0895,0.6517333966103818,0.28128341249296596,0.3624636247552122,0.5660837841679959,0.0917,0.8713,0.1744
83,15/9-F-1 A,3439.3,8.625,30.5187,2.5024,0.08800000000000001,0.6759249142309617,0.3064679187148033,0.37425329810175684,0.5882941214629582,0.0843,0.9182,0.1707
84,15/9-F-1 A,3439.4,8.625,32.2953,2.508,0.0873,0.6729379129925345,0.33140704921978115,0.4490307604004152,0.6782360413955298,0.0811,0.8859999999999999,0.1849
85,15/9-F-1 A,3439.5,8.6251,31.2674,2.509,0.0868,0.6946227458308823,0.3408999838587126,0.6219340771265282,0.7950035959386486,0.0806,0.7553,0.1767
86,15/9-F-1 A,3439.6,8.6485,30.3896,2.5097,0.0838,0.7349197838726929,0.33721958441818045,0.810440875574879,0.9132308711135606,0.0802,0.6339,0.1698
87,15/9-F-1 A,3439.7,8.6719,30.3559,2.5165,0.0838,0.7941044712758557,0.32756326018727794,1.0796153235269434,1.0380555698989131,0.0763,0.511,0.1695
88,15/9-F-1 A,3439.8,8.6719,29.9275,2.5329,0.0837,0.8238392482676519,0.3166621476886313,1.2158753954612755,1.0799911733832905,0.067,0.4961,0.1661
89,15/9-F-1 A,3439.9,8.6719,28.7507,2.5565,0.0841,0.8127863904675694,0.3053943667717322,1.245779084967503,1.0458195902315666,0.0535,0.5711,0.1567
90,15/9-F-1 A,3440.0,8.6719,30.2974,2.5817,0.0855,0.7745242647341363,0.2905687989844836,1.2953383479510017,1.0027145252301557,0.0391,0.696,0.1691
91,15/9-F-1 A,3440.1,8.6719,27.8942,2.6024,0.0883,0.734495797036272,0.27253777737523743,1.2429437345014562,0.9450892735589412,0.0272,0.9554,0.15
92,15/9-F-1 A,3440.2,8.6719,27.6866,2.6151,0.09300000000000001,0.7259116322950482,0.26839073562993093,1.050959459771651,0.8600383898071934,0.02,1.0,0.1483
93,15/9-F-1 A,3440.3,8.6719,27.9503,2.6187,0.0992,0.7087352461450995,0.2656195831538845,0.9207023474320545,0.7702774797561721,0.02,1.0,0.1504
94,15/9-F-1 A,3440.4,8.6719,29.0596,2.613,0.1063,0.6533765495970246,0.25166254998979437,0.9065505191014501,0.73108085136923,0.0211,1.0,0.1592
95,15/9-F-1 A,3440.5,8.6719,29.7049,2.5989,0.1148,0.5885406059677267,0.21947973806513899,1.0186339350241629,0.7353274606719542,0.0291,1.0,0.1643
96,15/9-F-1 A,3440.6,8.6718,28.7291,2.5756,0.1245,0.5786621272780116,0.20071373396401326,1.1704788083671875,0.7592749137191134,0.0425,0.7311,0.1566
97,15/9-F-1 A,3440.7,8.6483,27.5543,2.5467,0.1384,0.6060372331734994,0.19752865552277102,1.2193329921668334,0.7726149765381448,0.059000000000000004,0.5413,0.1473
98,15/9-F-1 A,3440.8,8.6249,27.3182,2.5139,0.1507,0.6396458341545795,0.19523525480606502,1.1956810670658216,0.7781729645648888,0.0777,0.44799999999999995,0.1454
99,15/9-F-1 A,3440.9,8.5781,25.9961,2.4796,0.1659,0.667705050696841,0.19498584342588088,1.1874896986940946,0.7881966630197421,0.0973,0.3789,0.1349
100,15/9-F-1 A,3441.0,8.5782,26.1179,2.4439,0.1759,0.6804080408833195,0.19351417502866883,1.207728593414819,0.8005246266998781,0.1177,0.3214,0.1358
101,15/9-F-1 A,3441.1,8.6015,26.8018,2.4088,0.1787,0.6657685507193798,0.18878791263746944,1.151351460536374,0.7828594469279799,0.1378,0.3009,0.1413
102,15/9-F-1 A,3441.2,8.5781,27.2609,2.3802,0.1833,0.6104046205806517,0.17736332475036148,1.0874264570362855,0.7274843233085996,0.1541,0.2937,0.1449
