wellName,MD,BS,CALI,DT,DTS,GR,NPHI,RACEHM,RACELM,RHOB,RPCEHM,RPCELM,PHIF,SW,VSH
15/9-F-11 B,4468.3,8.5,8.719,,,75.373,0.328,3.438,2.152,2.643,4.151,2.538,0.02,1,0.612
15/9-F-11 B,4468.4,8.5,8.719,,,69.785,0.316,3.363,2.258,2.667,3.664,2.342,0.02,1,0.563
15/9-F-11 B,4468.5,8.5,8.719,,,64.195,0.312,3.254,2.289,2.699,3.43,2.359,0.02,1,0.515
15/9-F-11 B,4468.6,8.5,8.703,,,58.643,0.304,3.076,2.343,2.727,3.368,2.268,0.02,1,0.467
15/9-F-11 B,4468.7,8.5,8.726,,,54.666,0.298,2.769,2.35,2.745,4.207,2.4,0.02,1,0.432
15/9-F-11 B,4468.8,8.5,8.703,,,53.396,0.284,2.592,2.354,2.755,4.773,2.514,0.02,1,0.421
15/9-F-11 B,4468.9,8.5,8.703,,,56.068,0.265,2.475,2.312,2.763,5.315,2.573,0.02,1,0.444
15/9-F-11 B,4469,8.5,8.672,,,56.427,0.25,2.411,2.401,2.774,4.495,2.412,0.02,1,0.447
15/9-F-11 B,4469.1,8.5,8.729,,,55.463,0.231,2.279,2.482,2.787,4.251,2.344,0.02,1,0.439
15/9-F-11 B,4469.2,8.5,8.781,,,52.109,0.224,2.138,2.499,2.796,4.456,2.438,0.02,1,0.41
15/9-F-11 B,4469.3,8.5,8.771,,,48.55,0.224,2.141,2.557,2.797,4.42,2.368,0.02,1,0.379
15/9-F-11 B,4469.4,8.5,8.75,,,48.188,0.224,1.946,2.683,2.791,3.512,2.197,0.02,1,0.375
15/9-F-11 B,4469.5,8.5,8.75,,,49.042,0.225,1.806,2.723,2.782,2.918,2.128,0.02,1,0.383
15/9-F-11 B,4469.6,8.5,8.766,,,49.341,0.226,1.76,2.733,2.777,2.848,2.087,0.02,1,0.386
15/9-F-11 B,4469.7,8.5,8.781,,,48.875,0.23,1.684,2.801,2.781,2.433,2.033,0.02,1,0.382
15/9-F-11 B,4469.8,8.5,8.781,,,47.606,0.235,1.591,2.92,2.796,2.013,1.911,0.02,1,0.371
15/9-F-11 B,4469.9,8.5,8.781,,,43.771,0.24,1.515,3.094,2.819,1.678,1.85,0.02,1,0.337
15/9-F-11 B,4470,8.5,8.781,,,40.592,0.243,1.528,3.227,2.845,1.476,1.8,0.02,1,0.31
15/9-F-11 B,4470.1,8.5,8.76,,,38.608,0.244,1.581,3.337,2.869,1.437,1.819,0.02,1,0.292
15/9-F-11 B,4470.2,8.5,8.75,,,38.606,0.241,1.716,3.539,2.887,1.452,1.9,0.02,1,0.292
15/9-F-11 B,4470.3,8.5,8.75,,,37.241,0.238,1.811,3.54,2.895,1.6,1.959,0.02,1,0.28
15/9-F-11 B,4470.4,8.5,8.75,,,36.74,0.237,1.929,3.663,2.895,1.665,2.017,0.02,1,0.276
15/9-F-11 B,4470.5,8.5,8.781,,,34.784,0.235,2.096,3.955,2.89,1.51,2.028,0.02,1,0.259
15/9-F-11 B,4470.6,8.5,8.781,,,33.286,0.233,2.248,4.232,2.883,1.381,2.025,0.02,1,0.246
15/9-F-11 B,4470.7,8.5,8.75,,,33.863,0.229,2.564,4.522,2.876,1.275,2.079,0.02,1,0.251
15/9-F-11 B,4470.8,8.5,8.75,,,33.397,0.221,2.64,4.483,2.869,1.368,2.19,0.02,1,0.247
15/9-F-11 B,4470.9,8.5,8.75,,,33.61,0.216,3.166,4.727,2.865,1.372,2.17,0.02,1,0.249
15/9-F-11 B,4471,8.5,8.75,,,34.813,0.215,3.315,4.812,2.864,1.498,2.244,0.02,1,0.259
15/9-F-11 B,4471.1,8.5,8.75,,,35.206,0.217,4.007,5.041999,2.867,1.444,2.275,0.02,1,0.263
15/9-F-11 B,4471.2,8.5,8.75,,,35.21,0.218,4.382,5.303,2.871,1.426,2.244,0.02,1,0.263
15/9-F-11 B,4471.3,8.5,8.75,,,33.992,0.219,4.582,5.288,2.871,1.588,2.387,0.02,1,0.252
15/9-F-11 B,4471.4,8.5,8.703,,,33.521,0.222,3.572,4.507,2.866,2.503,3.265,0.02,1,0.248
15/9-F-11 B,4471.5,8.5,8.75,,,31.547,0.219,4.074,4.867,2.859,2.269,3.145,0.02,1,0.231
15/9-F-11 B,4471.6,8.5,8.75,,,30.859,0.217,5.096,5.242,2.851,2.156,3.198,0.02,1,0.225
15/9-F-11 B,4471.7,8.5,8.75,,,32.746,0.212,4.997,5.334001,2.844,1.956,3.154,0.02,1,0.241
15/9-F-11 B,4471.8,8.5,8.771,,,31.577,0.207,4.931001,5.245999,2.84,2.214,3.381,0.02,1,0.231
15/9-F-11 B,4471.9,8.5,8.75,,,31.733,0.203,5.245999,5.189,2.837,2.531,3.739,0.02,1,0.232
15/9-F-11 B,4472,8.5,8.75,,,34.308,0.202,6.131,5.191,2.834,3.112,4.366,0.02,1,0.255
15/9-F-11 B,4472.1,8.5,8.75,,,34.502,0.203,9.34,5.623,2.829,2.895,4.535,0.02,1,0.257
15/9-F-11 B,4472.2,8.5,8.75,,,35.992,0.203,9.335001,5.786,2.825,2.613,4.492,0.02,1,0.269
15/9-F-11 B,4472.3,8.5,8.727,,,35.828,0.205,7.704,5.576001,2.82,2.777,4.512,0.02,1,0.268
15/9-F-11 B,4472.4,8.5,8.75,,,36.163,0.199,8.788,5.750999,2.812,2.975,4.763,0.02,1,0.271
15/9-F-11 B,4472.5,8.5,8.703,,,35.34,0.197,9.511,5.579,2.798,3.041,4.822,0.02,1,0.264
15/9-F-11 B,4472.6,8.5,8.703,,,34.867,0.192,10.592,5.73,2.778,3.234,5.219,0.02,1,0.26
15/9-F-11 B,4472.7,8.5,8.75,,,36.008,0.185,10.691,5.816,2.759,3.203,5.287,0.02,1,0.27
15/9-F-11 B,4472.8,8.5,8.75,,,36.916,0.18,15.198,5.767,2.75,3.438,5.61,0.02,1,0.278
15/9-F-11 B,4472.9,8.5,8.75,,,33.893,0.174,15.122,5.779,2.753,3.392,5.736,0.02,1,0.251
15/9-F-11 B,4473,8.5,8.75,,,31.261,0.169,16.967,5.551,2.764,3.657,6.019,0.02,1,0.228
