,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
7375,26104,15/9-F-11 B,4570.0,0.979,0.8695663,0.536,0.5393036,0.095,0.102977045
7376,26105,15/9-F-11 B,4570.1,1.0,0.88728774,0.5479999999999999,0.55167574,0.094,0.101947814
7377,26106,15/9-F-11 B,4570.2,1.0,0.9022689,0.5529999999999999,0.555783,0.08900000000000001,0.09926528
7378,26107,15/9-F-11 B,4570.3,1.0,0.9033725,0.541,0.5429267,0.08199999999999999,0.09792498
7379,26108,15/9-F-11 B,4570.4,1.0,0.9126109,0.5479999999999999,0.5497243,0.076,0.09483832
7380,26109,15/9-F-11 B,4570.5,1.0,0.91313195,0.55,0.5521398,0.075,0.09438738
7381,26110,15/9-F-11 B,4570.6,1.0,0.91107106,0.5529999999999999,0.5555073,0.077,0.09482543
7382,26111,15/9-F-11 B,4570.7,1.0,0.89946926,0.544,0.5463109,0.08199999999999999,0.09523019
7383,26112,15/9-F-11 B,4570.8,1.0,0.89199847,0.5479999999999999,0.55073255,0.085,0.09492409
7384,26113,15/9-F-11 B,4570.9,0.942,0.87257934,0.547,0.55053675,0.086,0.09685163
7385,26114,15/9-F-11 B,4571.0,0.92,0.87182033,0.56,0.5643121,0.085,0.09733139
7386,26115,15/9-F-11 B,4571.1,0.924,0.88057005,0.589,0.5963858,0.084,0.0962341
7387,26116,15/9-F-11 B,4571.2,0.963,0.88928115,0.599,0.60651827,0.083,0.0963878
7388,26117,15/9-F-11 B,4571.3,0.957,0.875906,0.591,0.59866565,0.08,0.09824951
7389,26118,15/9-F-11 B,4571.4,0.986,0.8811908,0.607,0.61569315,0.075,0.09602198
7390,26119,15/9-F-11 B,4571.5,1.0,0.90862924,0.639,0.6490937,0.069,0.09024362
7391,26120,15/9-F-11 B,4571.6,1.0,0.9052074,0.635,0.64505404,0.062,0.08952841
7392,26121,15/9-F-11 B,4571.7,1.0,0.8878545,0.614,0.6227173,0.058,0.09004447
7393,26122,15/9-F-11 B,4571.8,1.0,0.87888587,0.59,0.5959976,0.056,0.08844507
7394,26123,15/9-F-11 B,4571.9,1.0,0.8407021,0.534,0.53570753,0.056,0.090873495
7395,26124,15/9-F-11 B,4572.0,1.0,0.82642925,0.499,0.49767825,0.054000000000000006,0.090390354
7396,26125,15/9-F-11 B,4572.1,1.0,0.81887144,0.49,0.48777327,0.051,0.08884695
7397,26126,15/9-F-11 B,4572.2,1.0,0.81787217,0.48,0.47610328,0.046,0.087809876
7398,26127,15/9-F-11 B,4572.3,1.0,0.8090056,0.444,0.4379602,0.04,0.09431094
7399,26128,15/9-F-11 B,4572.4,1.0,0.8059773,0.441,0.43439475,0.035,0.09538174
7400,26129,15/9-F-11 B,4572.5,1.0,0.773823,0.403,0.39400452,0.033,0.10658001
7401,26130,15/9-F-11 B,4572.6,1.0,0.7724213,0.35200000000000004,0.33753487,0.035,0.11025901
7402,26131,15/9-F-11 B,4572.7,1.0,0.7582202,0.324,0.30707234,0.041,0.113927364
7403,26132,15/9-F-11 B,4572.8,1.0,0.65907437,0.322,0.30780753,0.048,0.13112886
7404,26133,15/9-F-11 B,4572.9,0.996,0.5961908,0.337,0.3253849,0.054000000000000006,0.14081252
7405,26134,15/9-F-11 B,4573.0,1.0,0.6399091,0.364,0.35376337,0.057,0.12921005
7406,26135,15/9-F-11 B,4573.1,0.933,0.5885912,0.368,0.35890418,0.056,0.13511306
7407,26136,15/9-F-11 B,4573.2,0.97,0.5848916,0.341,0.33009234,0.052000000000000005,0.13370025
7408,26137,15/9-F-11 B,4573.3,0.804,0.6031285,0.274,0.25726163,0.048,0.12449035
7409,26138,15/9-F-11 B,4573.4,0.7070000000000001,0.5282111,0.218,0.19969599,0.053,0.13384357
7410,26139,15/9-F-11 B,4573.5,0.511,0.46457705,0.158,0.14294916,0.076,0.14445618
7411,26140,15/9-F-11 B,4573.6,0.3,0.37901026,0.135,0.12243265,0.145,0.16852997
7412,26141,15/9-F-11 B,4573.7,0.254,0.28926268,0.13,0.11995748,0.174,0.19400626
7413,26142,15/9-F-11 B,4573.8,0.227,0.21372142,0.113,0.104420274,0.194,0.21059693
7414,26144,15/9-F-11 B,4574.0,0.222,0.23215795,0.109,0.09853122,0.188,0.200224
7415,26145,15/9-F-11 B,4574.1,0.251,0.29381847,0.083,0.066468805,0.179,0.18747607
7416,26146,15/9-F-11 B,4574.2,0.21600000000000005,0.25504205,0.062,0.045481283,0.175,0.18100654
7417,26147,15/9-F-11 B,4574.3,0.147,0.18002033,0.052000000000000005,0.034511562,0.184,0.1865637
7418,26148,15/9-F-11 B,4574.4,0.13,0.16179615,0.042,0.026663754,0.195,0.18948086
7419,26149,15/9-F-11 B,4574.5,0.124,0.15045032,0.041,0.02622677,0.205,0.19505325
7420,26150,15/9-F-11 B,4574.6,0.128,0.1451785,0.046,0.02943879,0.209,0.19841516
7421,26151,15/9-F-11 B,4574.7,0.13,0.14156118,0.046,0.030016858,0.211,0.20112045
7422,26152,15/9-F-11 B,4574.8,0.133,0.13664812,0.057,0.038380314,0.212,0.20454611
7423,26153,15/9-F-11 B,4574.9,0.14,0.1368387,0.067,0.046715725,0.213,0.20939583
7424,26154,15/9-F-11 B,4575.0,0.134,0.13342866,0.057,0.038860265,0.213,0.20715612
7425,26155,15/9-F-11 B,4575.1,0.128,0.13240221,0.054000000000000006,0.036781903,0.212,0.20706345
7426,26156,15/9-F-11 B,4575.2,0.127,0.13761377,0.044,0.028931621,0.211,0.20403644
7427,26157,15/9-F-11 B,4575.3,0.125,0.13685715,0.044,0.028976526,0.211,0.20426002
7428,26158,15/9-F-11 B,4575.4,0.125,0.13084733,0.051,0.03459468,0.213,0.2073088
7429,26159,15/9-F-11 B,4575.5,0.124,0.13049492,0.048,0.03232218,0.21600000000000005,0.20787132
7430,26160,15/9-F-11 B,4575.6,0.124,0.12829202,0.049,0.0331516,0.218,0.2093821
7431,26161,15/9-F-11 B,4575.7,0.123,0.13144028,0.044,0.029285204,0.219,0.20835336
7432,26162,15/9-F-11 B,4575.8,0.123,0.13296065,0.043,0.028632533,0.218,0.20702963
7433,26163,15/9-F-11 B,4575.9,0.122,0.1292699,0.047,0.031651255,0.218,0.20933634
7434,26164,15/9-F-11 B,4576.0,0.119,0.12971193,0.048,0.032036666,0.218,0.20865163
7435,26165,15/9-F-11 B,4576.1,0.119,0.13079432,0.048,0.03244989,0.21600000000000005,0.2074981
7436,26166,15/9-F-11 B,4576.2,0.115,0.13131884,0.049,0.033221398,0.21600000000000005,0.20718789
7437,26167,15/9-F-11 B,4576.3,0.113,0.1357719,0.044,0.028447796,0.21600000000000005,0.20485324
7438,26168,15/9-F-11 B,4576.4,0.114,0.13729855,0.044,0.028246198,0.217,0.20431723
7439,26169,15/9-F-11 B,4576.5,0.119,0.13526806,0.05,0.032429505,0.219,0.20619717
7440,26170,15/9-F-11 B,4576.6,0.115,0.13579741,0.047,0.030146878,0.22,0.2064744
7441,26171,15/9-F-11 B,4576.7,0.117,0.13743448,0.045,0.028134163,0.221,0.20580088
7442,26172,15/9-F-11 B,4576.8,0.114,0.14037716,0.047,0.028821137,0.22,0.20574915
7443,26173,15/9-F-11 B,4576.9,0.107,0.14408416,0.043,0.02609963,0.218,0.20312256
7444,26174,15/9-F-11 B,4577.0,0.102,0.14491129,0.043,0.026323859,0.21600000000000005,0.2028941
7445,26175,15/9-F-11 B,4577.1,0.107,0.14949268,0.043,0.025649939,0.214,0.20168912
7446,26176,15/9-F-11 B,4577.2,0.131,0.16082808,0.045,0.027644139,0.211,0.20097315
7447,26177,15/9-F-11 B,4577.3,0.161,0.19757006,0.047,0.03139833,0.206,0.19853954
7448,26178,15/9-F-11 B,4577.4,0.228,0.24004275,0.051,0.036747668,0.203,0.19675346
7449,26179,15/9-F-11 B,4577.5,0.239,0.25703162,0.045,0.032666486,0.201,0.19426306
7450,26180,15/9-F-11 B,4577.6,0.261,0.26342455,0.041,0.029945437,0.203,0.19430086
7451,26181,15/9-F-11 B,4577.7,0.267,0.2667599,0.042,0.030842904,0.207,0.19629073
7452,26182,15/9-F-11 B,4577.8,0.275,0.2691832,0.044,0.03275161,0.21,0.19807689
7453,26183,15/9-F-11 B,4577.9,0.282,0.279708,0.048,0.036943372,0.21,0.19801159
7454,26184,15/9-F-11 B,4578.0,0.29600000000000004,0.29545653,0.052000000000000005,0.040482935,0.212,0.19888842
7455,26185,15/9-F-11 B,4578.1,0.308,0.2994251,0.045,0.03415184,0.211,0.19842204
7456,26186,15/9-F-11 B,4578.2,0.313,0.30446854,0.047,0.036806528,0.212,0.19864763
7457,26187,15/9-F-11 B,4578.3,0.309,0.3040238,0.048,0.03737243,0.212,0.19905992
7458,26188,15/9-F-11 B,4578.4,0.318,0.30553037,0.042,0.031592946,0.213,0.20059077
7459,26189,15/9-F-11 B,4578.5,0.322,0.3073959,0.04,0.029574495,0.214,0.20229147
7460,26190,15/9-F-11 B,4578.6,0.342,0.32172793,0.042,0.03176794,0.21600000000000005,0.20406102
7461,26191,15/9-F-11 B,4578.7,0.369,0.34221417,0.043,0.033335786,0.218,0.2071515
7462,26192,15/9-F-11 B,4578.8,0.421,0.3826128,0.043,0.03479852,0.219,0.21084338
7463,26193,15/9-F-11 B,4578.9,0.449,0.4104294,0.039,0.030059252,0.219,0.2139255
7464,26194,15/9-F-11 B,4579.0,0.465,0.4326296,0.041,0.034505706,0.22,0.2147488
7465,26195,15/9-F-11 B,4579.1,0.477,0.44653973,0.043,0.036218245,0.22,0.21553618
7466,26196,15/9-F-11 B,4579.2,0.481,0.4487582,0.039,0.031742368,0.221,0.21907249
7467,26197,15/9-F-11 B,4579.3,0.493,0.4679381,0.043,0.037683878,0.219,0.21674778
7468,26198,15/9-F-11 B,4579.4,0.501,0.48414502,0.048,0.042372983,0.22,0.21596608
7469,26199,15/9-F-11 B,4579.5,0.501,0.48605046,0.043,0.037156876,0.219,0.21789426
7470,26200,15/9-F-11 B,4579.6,0.502,0.50190413,0.05,0.04454064,0.21600000000000005,0.21341687
7471,26201,15/9-F-11 B,4579.7,0.5,0.5061182,0.052000000000000005,0.04672711,0.215,0.21267593
7472,26202,15/9-F-11 B,4579.8,0.501,0.50274885,0.045,0.04041641,0.213,0.21577354
7473,26203,15/9-F-11 B,4579.9,0.503,0.51280236,0.048,0.043878574,0.211,0.21431288
7474,26204,15/9-F-11 B,4580.0,0.505,0.5091839,0.043,0.037465196,0.21,0.21617588
7475,26205,15/9-F-11 B,4580.1,0.505,0.51501065,0.047,0.042326536,0.211,0.21563731
7476,26206,15/9-F-11 B,4580.2,0.501,0.51040924,0.045,0.040440198,0.214,0.21724138
7477,26207,15/9-F-11 B,4580.3,0.5,0.5178014,0.053,0.047149394,0.215,0.21398574
7478,26208,15/9-F-11 B,4580.4,0.496,0.5130775,0.051,0.04511815,0.218,0.21583495
7479,26209,15/9-F-11 B,4580.5,0.493,0.49915144,0.041,0.034110297,0.219,0.22040315
7480,26210,15/9-F-11 B,4580.6,0.489,0.4877009,0.031,0.018931668,0.22,0.22274877
7481,26211,15/9-F-11 B,4580.7,0.493,0.49336967,0.036000000000000004,0.025744803,0.219,0.22204456
7482,26212,15/9-F-11 B,4580.8,0.495,0.49786445,0.042,0.035120998,0.218,0.22014903
7483,26213,15/9-F-11 B,4580.9,0.501,0.5010534,0.044,0.038842347,0.217,0.2183029
7484,26214,15/9-F-11 B,4581.0,0.506,0.50726193,0.047,0.04245085,0.21600000000000005,0.21639462
7485,26215,15/9-F-11 B,4581.1,0.508,0.5029838,0.046,0.04114752,0.215,0.21618259
7486,26216,15/9-F-11 B,4581.2,0.509,0.5055597,0.047,0.042655755,0.213,0.21370088
7487,26217,15/9-F-11 B,4581.3,0.506,0.49891487,0.044,0.04011302,0.214,0.2144472
7488,26218,15/9-F-11 B,4581.4,0.508,0.5040295,0.046,0.042825934,0.212,0.2121025
7489,26219,15/9-F-11 B,4581.5,0.505,0.48532924,0.034,0.025245257,0.212,0.21721381
7490,26220,15/9-F-11 B,4581.6,0.508,0.4902785,0.041,0.03619847,0.212,0.21411665
7491,26221,15/9-F-11 B,4581.7,0.51,0.49326482,0.049,0.04409339,0.213,0.21206225
7492,26222,15/9-F-11 B,4581.8,0.507,0.47828707,0.036000000000000004,0.02759755,0.213,0.2176807
7493,26223,15/9-F-11 B,4581.9,0.503,0.47382167,0.039,0.031614568,0.214,0.21718042
7494,26224,15/9-F-11 B,4582.0,0.501,0.48136517,0.049,0.0433647,0.214,0.21175858
7495,26225,15/9-F-11 B,4582.1,0.494,0.47389272,0.048,0.042678867,0.215,0.21235402
7496,26226,15/9-F-11 B,4582.2,0.494,0.4806783,0.053,0.04738583,0.215,0.20964953
7497,26227,15/9-F-11 B,4582.3,0.486,0.46529284,0.047,0.041418243,0.21600000000000005,0.21276964
